CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUS-0047,Male,1,Yes,No,47.0,Yes,Fiber optic,Yes,No,One year,No,Electronic check,90.01,4594.65,No
CUS-0048,Female,0,Yes,No,35.0,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,89.12,3362.48,No
CUS-0049,Female,0,Yes,Yes,36.0,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,,1023.37,No
CUS-0050,Female,0,Yes,Yes,50.0,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,93.87,4502.25,Yes
CUS-0051,Female,0,No,No,4.0,Yes,Fiber optic,Yes,No,One year,Yes,Mailed check,95.19,384.19,No
CUS-0052,Female,0,No,Yes,2.0,Yes,No,No internet service,No internet service,Two year,No,Credit card,37.06,70.03,No
CUS-0053,Male,0,Yes,No,6.0,Yes,Fiber optic,No,Yes,Month-to-month,No,Electronic check,99.46,590.07,No
CUS-0054,Female,0,No,No,54.0,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card,25.33,1363.5,No
CUS-0055,Male,0,No,Yes,4.0,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer,34.32,146.39,No
CUS-0056,Female,0,Yes,No,54.0,Yes,Fiber optic,No,Yes,One year,No,Bank transfer,87.89,5121.97,No
CUS-0057,Male,1,No,No,63.0,Yes,Fiber optic,Yes,Yes,One year,No,Mailed check,93.54,5792.39,No
CUS-0058,Female,1,Yes,No,18.0,Yes,No,No internet service,No internet service,Two year,Yes,Credit card,29.52,480.11,No
CUS-0059,Female,0,No,No,44.0,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card,39.88,1881.68,No
CUS-0060,Male,0,Yes,No,34.0,Yes,Fiber optic,Yes,No,Two year,Yes,Electronic check,94.58,3006.23,No
CUS-0061,Male,0,No,No,62.0,Yes,DSL,Yes,No,Month-to-month,No,Electronic check,39.05,2480.12,No
CUS-0062,Female,0,No,No,,No,Fiber optic,No,No,One year,Yes,Electronic check,96.7,1225.18,No
CUS-0063,Female,1,Yes,No,48.0,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Credit card,98.06,4612.28,Yes
CUS-0064,Female,0,Yes,No,15.0,Yes,Fiber optic,Yes,No,Two year,Yes,Electronic check,96.29,1584.73,No
CUS-0065,Female,0,Yes,No,62.0,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,89.18,5087.59,No
CUS-0066,Female,0,Yes,No,40.0,No,Fiber optic,No,No,One year,No,Electronic check,85.04,3349.69,Yes
CUS-0067,Male,0,No,No,53.0,Yes,Fiber optic,No,No,Two year,No,Mailed check,,4454.05,Yes
CUS-0068,Male,0,No,Yes,24.0,Yes,DSL,No,No,Month-to-month,No,Bank transfer,20.4,529.27,No
CUS-0069,Female,0,Yes,No,26.0,Yes,Fiber optic,No,No,Month-to-month,No,Bank transfer,90.48,2526.25,Yes
CUS-0070,Male,0,No,Yes,60.0,Yes,Fiber optic,No,No,Two year,Yes,Credit card,90.1,5122.4,No
CUS-0071,Male,0,Yes,No,41.0,Yes,DSL,No,No,Month-to-month,Yes,Credit card,30.51,1146.13,Yes
CUS-0072,Male,0,Yes,No,29.0,Yes,DSL,No,No,Month-to-month,Yes,Mailed check,39.48,1174.03,Yes
CUS-0073,Female,0,No,No,15.0,Yes,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,98.23,1425.23,No
CUS-0074,Male,0,No,No,45.0,Yes,Fiber optic,No,No,One year,Yes,Electronic check,83.23,3874.25,No
CUS-0075,Female,0,Yes,No,65.0,Yes,DSL,No,Yes,Month-to-month,No,Electronic check,27.38,1613.16,No
CUS-0076,Male,0,Yes,No,71.0,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card,28.48,1873.82,No
CUS-0077,Female,0,Yes,No,9.0,Yes,Fiber optic,Yes,No,Month-to-month,No,Bank transfer,87.21,814.15,No
CUS-0078,Male,0,No,No,1.0,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card,35.97,33.9,Yes
CUS-0079,Female,0,No,No,8.0,Yes,Fiber optic,No,No,Two year,Yes,Credit card,90.48,775.61,No
CUS-0080,Female,0,No,No,63.0,No,Fiber optic,No,Yes,Two year,Yes,Electronic check,91.44,5252.15,Yes
CUS-0081,Male,1,No,Yes,11.0,Yes,No,No internet service,No internet service,One year,No,Electronic check,37.06,384.46,No
CUS-0082,Female,0,Yes,No,8.0,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,96.12,845.63,Yes
CUS-0083,Female,0,Yes,No,35.0,Yes,Fiber optic,No,No,Two year,Yes,Credit card,82.64,2853.69,Yes
CUS-0084,Female,0,Yes,No,35.0,Yes,DSL,Yes,No,Month-to-month,Yes,Mailed check,34.28,1248.5,No
CUS-0085,Female,0,Yes,Yes,33.0,No,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,88.71,2741.63,Yes
CUS-0086,Female,0,Yes,No,5.0,Yes,DSL,Yes,No,Two year,Yes,Credit card,25.89,132.29,No
CUS-0087,Female,0,Yes,Yes,41.0,Yes,DSL,Yes,No,One year,No,Bank transfer,21.0,899.94,No
CUS-0088,Female,0,No,No,28.0,Yes,DSL,No,No,One year,No,Bank transfer,29.74,801.82,No
CUS-0089,Female,0,No,No,7.0,Yes,DSL,No,Yes,One year,Yes,Bank transfer,27.11,202.25,No
CUS-0090,Male,0,Yes,No,12.0,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,25.03,306.57,No
CUS-0091,Male,0,Yes,Yes,34.0,Yes,DSL,Yes,No,Month-to-month,No,Mailed check,33.89,1126.71,Yes
CUS-0092,Female,0,No,No,33.0,Yes,Fiber optic,No,No,One year,No,Electronic check,95.39,,No
CUS-0093,Female,0,No,No,48.0,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.9,1213.55,Yes
CUS-0094,Male,0,No,No,23.0,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Credit card,80.99,1738.16,No
CUS-0095,Male,0,No,No,62.0,No,DSL,Yes,No,One year,No,Bank transfer,36.98,2248.16,No
CUS-0096,Male,0,Yes,Yes,37.0,Yes,Fiber optic,No,No,One year,Yes,Credit card,80.2,2874.48,No
CUS-0097,Female,0,Yes,No,44.0,Yes,Fiber optic,No,No,Month-to-month,No,Electronic check,98.74,4258.45,No
CUS-0098,Male,0,Yes,No,35.0,Yes,Fiber optic,No,Yes,Two year,No,Mailed check,92.55,3408.41,Yes
CUS-0099,Female,0,Yes,No,65.0,Yes,Fiber optic,No,Yes,Two year,Yes,Electronic check,86.44,5598.98,No
CUS-0100,Female,0,Yes,Yes,47.0,Yes,No,No internet service,No internet service,One year,Yes,Credit card,24.93,1274.89,No
CUS-0101,Male,0,No,No,3.0,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,80.18,230.61,Yes
CUS-0102,Female,0,Yes,No,1.0,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Credit card,84.71,83.28,Yes
CUS-0103,Female,0,No,No,5.0,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Credit card,82.75,437.5,Yes
CUS-0104,Female,0,Yes,Yes,14.0,Yes,DSL,Yes,No,Month-to-month,Yes,Credit card,32.24,455.51,No
CUS-0105,Female,0,Yes,No,27.0,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card,23.33,635.83,Yes
CUS-0106,Male,1,Yes,Yes,9.0,Yes,DSL,No,No,Month-to-month,Yes,Electronic check,30.57,250.55,No
CUS-0107,Male,0,Yes,No,15.0,Yes,DSL,No,No,Month-to-month,No,Credit card,,467.33,Yes
CUS-0108,Female,1,Yes,Yes,42.0,Yes,No,No internet service,No internet service,Two year,Yes,Credit card,25.96,1040.33,No
CUS-0109,Female,0,No,No,51.0,Yes,Fiber optic,Yes,No,Month-to-month,No,Bank transfer,80.7,4526.72,No
CUS-0110,Male,0,No,No,63.0,Yes,Fiber optic,No,Yes,One year,No,Credit card,80.75,4892.26,No
CUS-0111,Female,0,No,No,52.0,Yes,Fiber optic,Yes,Yes,One year,Yes,Electronic check,80.53,4509.58,No
CUS-0112,Male,1,Yes,Yes,4.0,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card,34.78,144.02,Yes
CUS-0113,Female,0,Yes,No,23.0,Yes,Fiber optic,No,No,Two year,Yes,Mailed check,86.36,1923.08,Yes
CUS-0114,Female,0,No,No,15.0,Yes,No,No internet service,No internet service,One year,No,Mailed check,35.93,543.64,No
CUS-0115,Male,0,Yes,No,43.0,Yes,DSL,No,No,Month-to-month,Yes,Credit card,28.63,1314.94,No
CUS-0116,Male,0,Yes,No,29.0,Yes,Fiber optic,No,No,One year,Yes,Mailed check,89.06,2780.77,No
CUS-0117,Male,1,No,Yes,36.0,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.26,1015.37,No
CUS-0118,Male,0,Yes,No,13.0,Yes,DSL,No,Yes,One year,Yes,Electronic check,34.26,431.09,No
CUS-0119,Female,0,No,Yes,32.0,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Bank transfer,85.47,2644.91,Yes
CUS-0120,Male,0,Yes,No,71.0,Yes,DSL,No,Yes,Two year,Yes,Mailed check,22.43,1446.67,No
CUS-0121,Female,1,No,Yes,59.0,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,91.12,5481.71,No
CUS-0122,Male,1,Yes,No,28.0,Yes,Fiber optic,No,Yes,One year,Yes,Bank transfer,86.54,2595.07,No
CUS-0123,Male,0,Yes,No,66.0,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,88.85,5725.21,No
CUS-0124,Female,0,No,No,42.0,Yes,DSL,No,No,One year,Yes,Mailed check,32.94,1449.9,No
CUS-0125,Male,1,Yes,No,45.0,Yes,DSL,No,No,One year,Yes,Credit card,29.88,1378.94,No
CUS-0126,Male,0,Yes,No,62.0,Yes,DSL,Yes,Yes,Month-to-month,Yes,Mailed check,32.41,1959.45,No
CUS-0127,Male,0,No,No,57.0,Yes,DSL,No,Yes,One year,No,Credit card,30.88,1633.8,No
CUS-0128,Male,1,Yes,Yes,6.0,Yes,Fiber optic,No,No,Month-to-month,Yes,Credit card,94.8,592.61,Yes
CUS-0129,Female,0,No,No,28.0,Yes,No,No internet service,No internet service,Two year,No,Credit card,34.12,1023.11,No
CUS-0130,Female,0,Yes,Yes,28.0,Yes,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,,2633.42,Yes
CUS-0131,Male,0,Yes,No,44.0,Yes,Fiber optic,No,No,Two year,No,Mailed check,93.58,3720.49,No
CUS-0132,Male,1,Yes,No,30.0,Yes,No,No internet service,No internet service,Two year,Yes,Mailed check,37.47,1060.3,No
CUS-0133,Male,1,Yes,No,62.0,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,88.65,5023.05,No
CUS-0134,Female,1,No,Yes,62.0,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,28.26,1776.78,No
CUS-0135,Female,0,Yes,No,1.0,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,95.28,100.17,No
CUS-0136,Female,1,No,No,27.0,Yes,DSL,No,Yes,Two year,Yes,Electronic check,31.65,787.99,No
CUS-0137,Female,1,Yes,No,62.0,Yes,DSL,Yes,No,Month-to-month,Yes,Credit card,21.42,1417.91,No
CUS-0138,Male,0,Yes,No,3.0,Yes,Fiber optic,No,No,Month-to-month,No,Bank transfer,97.84,296.78,Yes
CUS-0139,Male,0,Yes,No,70.0,Yes,DSL,Yes,Yes,Two year,Yes,Electronic check,20.62,1498.24,No
CUS-0140,Male,0,Yes,Yes,27.0,Yes,DSL,No,No,Month-to-month,Yes,Mailed check,34.97,1033.21,No
CUS-0141,Female,0,No,No,9.0,Yes,Fiber optic,No,Yes,One year,No,Electronic check,95.18,785.29,Yes
CUS-0142,Male,0,No,No,62.0,Yes,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,99.06,6634.56,Yes
CUS-0143,Female,0,No,Yes,37.0,No,Fiber optic,Yes,No,Month-to-month,No,Mailed check,81.08,2775.62,Yes
CUS-0144,Female,0,No,Yes,51.0,Yes,DSL,No,No,Two year,Yes,Mailed check,31.94,1594.07,No
CUS-0145,Male,0,Yes,Yes,44.0,No,Fiber optic,Yes,No,Month-to-month,No,Mailed check,88.56,4170.53,Yes
CUS-0146,Male,0,No,No,24.0,No,Fiber optic,No,Yes,Month-to-month,Yes,Credit card,86.61,2247.53,Yes
CUS-0147,Male,0,No,No,59.0,Yes,No,No internet service,No internet service,Two year,No,Mailed check,21.81,1288.43,No
CUS-0148,Female,0,Yes,Yes,32.0,Yes,Fiber optic,Yes,No,Month-to-month,No,Credit card,91.25,2974.96,No
CUS-0149,Female,0,Yes,No,52.0,Yes,No,No internet service,No internet service,Two year,Yes,Credit card,29.58,1602.19,No
CUS-0150,Male,0,Yes,Yes,,Yes,Fiber optic,No,No,Two year,Yes,Electronic check,82.09,5428.3,No
CUS-0151,Male,0,Yes,No,58.0,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,92.25,4945.48,No
CUS-0152,Female,0,No,Yes,52.0,Yes,DSL,No,No,Month-to-month,No,Mailed check,34.76,1919.61,Yes
CUS-0153,Male,0,No,No,12.0,Yes,Fiber optic,Yes,Yes,One year,Yes,Bank transfer,95.35,1139.92,No
CUS-0154,Female,1,Yes,No,39.0,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,98.11,3788.5,Yes
CUS-0155,Female,0,Yes,No,2.0,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,88.19,173.7,Yes
CUS-0156,Male,0,Yes,No,3.0,Yes,Fiber optic,Yes,No,One year,Yes,Mailed check,99.06,297.73,No
CUS-0157,Male,0,No,No,56.0,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,97.31,5934.41,No
CUS-0158,Male,1,No,No,59.0,Yes,DSL,No,Yes,Two year,No,Mailed check,,1544.62,No
CUS-0159,Male,0,Yes,Yes,2.0,Yes,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,83.19,181.46,Yes
CUS-0160,Female,1,Yes,Yes,2.0,No,DSL,No,No,Month-to-month,No,Mailed check,28.71,53.75,Yes
CUS-0161,Female,0,No,No,54.0,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,28.04,1582.04,No
CUS-0162,Female,1,Yes,Yes,1.0,Yes,DSL,No,No,Two year,Yes,Bank transfer,31.51,33.48,No
CUS-0163,Male,0,Yes,Yes,19.0,Yes,DSL,No,No,One year,Yes,Mailed check,31.67,623.29,No
CUS-0164,Female,1,No,No,2.0,Yes,Fiber optic,No,No,Two year,Yes,Bank transfer,95.0,194.06,No
CUS-0165,Male,0,Yes,No,53.0,Yes,Fiber optic,No,Yes,Month-to-month,No,Bank transfer,90.2,4842.57,Yes
CUS-0166,Male,0,No,No,44.0,Yes,Fiber optic,No,No,Month-to-month,No,Electronic check,82.1,3873.17,Yes
CUS-0167,Male,0,Yes,Yes,32.0,Yes,DSL,No,Yes,Month-to-month,Yes,Electronic check,37.17,1265.96,No
CUS-0168,Male,0,Yes,Yes,70.0,Yes,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,86.2,5578.18,Yes
CUS-0169,Male,0,No,No,32.0,No,Fiber optic,No,No,One year,Yes,Credit card,99.43,3403.58,No
CUS-0170,Male,1,No,Yes,,Yes,No,No internet service,No internet service,One year,No,Mailed check,22.36,1494.35,No
CUS-0171,Female,1,Yes,Yes,55.0,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer,39.17,2048.23,No
CUS-0172,Male,0,No,No,56.0,Yes,Fiber optic,No,No,Two year,No,Mailed check,81.82,4920.77,No
CUS-0173,Female,0,Yes,No,17.0,Yes,DSL,No,No,Month-to-month,Yes,Electronic check,24.62,412.85,No
CUS-0174,Female,0,Yes,No,38.0,Yes,Fiber optic,Yes,Yes,Two year,Yes,Mailed check,80.93,3265.01,No
CUS-0175,Male,0,No,Yes,24.0,Yes,DSL,No,No,Month-to-month,Yes,Bank transfer,34.1,779.67,Yes
CUS-0176,Male,0,Yes,Yes,69.0,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,97.01,6029.58,Yes
CUS-0177,Male,0,Yes,No,70.0,No,DSL,No,No,Month-to-month,Yes,Bank transfer,28.68,2005.78,No
CUS-0178,Female,0,No,Yes,11.0,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,38.57,390.35,No
CUS-0179,Male,0,No,No,16.0,Yes,DSL,Yes,Yes,One year,Yes,Credit card,31.81,534.85,No
CUS-0180,Female,0,Yes,No,59.0,Yes,Fiber optic,No,No,Month-to-month,No,Credit card,92.6,5218.72,Yes
CUS-0181,Male,0,No,No,70.0,Yes,Fiber optic,No,No,Month-to-month,No,Credit card,96.91,6707.24,Yes
CUS-0182,Male,0,No,No,3.0,Yes,Fiber optic,Yes,No,One year,Yes,Bank transfer,85.94,236.53,No
CUS-0183,Female,0,No,Yes,20.0,Yes,DSL,No,Yes,One year,Yes,Credit card,27.09,518.68,No
CUS-0184,Female,1,No,No,59.0,Yes,No,No internet service,No internet service,Two year,Yes,Mailed check,38.12,2375.7,No
CUS-0185,Male,0,Yes,No,36.0,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Bank transfer,98.02,3282.83,No
CUS-0186,Female,0,Yes,No,19.0,Yes,Fiber optic,No,No,One year,No,Electronic check,99.53,1946.73,Yes
CUS-0187,Female,0,Yes,Yes,67.0,Yes,DSL,No,No,One year,No,Bank transfer,38.04,2761.46,No
CUS-0188,Female,0,No,Yes,19.0,Yes,Fiber optic,No,No,Month-to-month,No,Mailed check,82.55,1624.86,No
CUS-0189,Female,1,No,No,20.0,Yes,Fiber optic,No,No,Month-to-month,Yes,Credit card,96.47,2049.42,Yes
CUS-0190,Female,0,No,No,71.0,Yes,DSL,No,No,Month-to-month,Yes,Bank transfer,28.2,1845.62,Yes
CUS-0191,Male,0,No,No,52.0,Yes,DSL,No,No,Month-to-month,Yes,Credit card,39.82,1967.41,Yes
CUS-0192,Male,0,No,Yes,33.0,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,29.45,1048.54,Yes
CUS-0193,Female,1,No,No,40.0,Yes,DSL,Yes,No,Month-to-month,No,Mailed check,31.08,1296.68,No
CUS-0194,Male,1,No,No,39.0,Yes,DSL,Yes,No,One year,Yes,Bank transfer,30.6,1226.71,No
CUS-0195,Male,0,Yes,No,1.0,Yes,Fiber optic,No,Yes,One year,Yes,Credit card,86.43,89.26,Yes
CUS-0196,Female,0,Yes,No,11.0,Yes,Fiber optic,No,No,Two year,Yes,Credit card,81.5,881.12,No
CUS-0197,Male,0,No,Yes,57.0,Yes,DSL,Yes,No,One year,No,Mailed check,37.91,1964.04,No
CUS-0198,Female,1,No,No,50.0,Yes,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,96.05,5075.71,Yes
CUS-0199,Female,0,No,Yes,23.0,Yes,DSL,Yes,Yes,Two year,No,Electronic check,22.79,542.91,No
CUS-0200,Male,1,Yes,No,31.0,Yes,DSL,No,Yes,Two year,Yes,Bank transfer,35.54,1095.75,No
CUS-0201,Female,0,Yes,No,42.0,Yes,DSL,No,No,Month-to-month,Yes,Mailed check,32.52,1475.04,No
CUS-0202,Female,0,No,No,7.0,Yes,No,No internet service,No internet service,One year,Yes,Electronic check,28.18,190.8,No
CUS-0203,Female,0,No,No,16.0,No,DSL,No,Yes,Two year,No,Mailed check,25.08,384.77,No
CUS-0204,Female,0,Yes,Yes,60.0,Yes,DSL,Yes,No,Month-to-month,Yes,Bank transfer,37.19,2397.77,No
CUS-0205,Female,0,Yes,No,2.0,Yes,Fiber optic,No,No,Two year,No,Electronic check,94.0,199.17,No
CUS-0206,Male,0,Yes,No,1.0,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.95,31.04,No
CUS-0207,Male,0,Yes,Yes,48.0,Yes,DSL,No,Yes,Month-to-month,Yes,Credit card,32.19,1431.01,Yes
CUS-0208,Female,0,No,Yes,12.0,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Electronic check,81.82,925.89,Yes
CUS-0209,Female,0,Yes,No,69.0,Yes,DSL,No,No,One year,Yes,Electronic check,29.48,2097.68,No
CUS-0210,Male,0,Yes,Yes,37.0,Yes,Fiber optic,No,Yes,Two year,Yes,Mailed check,83.87,3031.84,Yes
CUS-0211,Female,1,No,No,32.0,Yes,Fiber optic,No,Yes,Two year,No,Credit card,84.17,2874.69,Yes
CUS-0212,Male,1,Yes,No,9.0,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,93.23,914.58,Yes
CUS-0213,Female,1,Yes,No,19.0,Yes,DSL,No,No,Month-to-month,No,Mailed check,38.23,770.77,No
CUS-0214,Female,1,Yes,Yes,48.0,Yes,DSL,Yes,Yes,Two year,Yes,Electronic check,28.08,1314.83,No
CUS-0215,Female,0,No,No,3.0,Yes,DSL,Yes,Yes,One year,Yes,Electronic check,24.15,76.63,No
CUS-0216,Female,0,Yes,No,20.0,No,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,92.97,1804.15,Yes
CUS-0217,Female,0,No,Yes,24.0,Yes,DSL,Yes,Yes,Month-to-month,No,Credit card,37.42,838.29,No
CUS-0218,Female,0,No,No,54.0,Yes,Fiber optic,Yes,No,One year,Yes,Bank transfer,94.97,4649.79,No
CUS-0219,Female,0,Yes,No,33.0,Yes,No,No internet service,No internet service,One year,No,Bank transfer,37.38,1205.35,No
CUS-0220,Male,0,Yes,No,24.0,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card,30.73,797.05,No
